 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date:  30. 5.    Time:  12: 0:52
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
     8857  0.3759900E+03  0.10935E+00    4    32001    -4     1     T
     8865  0.3769900E+03  0.14143E+00    4    32031    -4     1     T
     8890  0.3779900E+03  0.12320E+00    3    32099    -4     1     T
     8916  0.3789900E+03  0.16615E+00    4    32171    -4     1     T
     8922  0.3799900E+03  0.19800E+00    4    32195    -4     1     T
     8945  0.3809900E+03  0.16450E+00    2    32241    -4     1     T
     8969  0.3819900E+03  0.21890E+00    4    32297    -4     1     T
     8993  0.3829900E+03  0.16426E+00    2    32347    -4     1     T
     9016  0.3839900E+03  0.16450E+00    2    32393    -4     1     T
     9039  0.3849900E+03  0.16450E+00    2    32441    -4     1     T
     9062  0.3859900E+03  0.16450E+00    2    32488    -4     1     T
     9085  0.3869900E+03  0.16450E+00    2    32534    -4     1     T
     9108  0.3879900E+03  0.16450E+00    2    32580    -4     1     T
     9131  0.3889900E+03  0.16450E+00    2    32626    -4     1     T
     9154  0.3899900E+03  0.16450E+00    3    32674    -4     1     T
     9183  0.3909900E+03  0.12136E+00    4    32764    -4     1     T
     9207  0.3919900E+03  0.16426E+00    2    32814    -4     1     T
     9212  0.3929900E+03  0.24750E+00    2    32826    -4     1     T
     9215  0.3939900E+03  0.49500E+00    4    32838    -4     1     T
     9240  0.3949900E+03  0.12320E+00    2    32898    -4     1     T
     9264  0.3959900E+03  0.16426E+00    2    32948    -4     1     T
     9287  0.3969900E+03  0.16450E+00    2    32994    -4     1     T
     9292  0.3979900E+03  0.24750E+00    3    33007    -4     1     T
     9315  0.3989900E+03  0.16450E+00    2    33053    -4     1     T
     9338  0.3999900E+03  0.16450E+00    2    33100    -4     1     T
     9343  0.4009900E+03  0.24750E+00    2    33112    -4     1     T
     9346  0.4019900E+03  0.49500E+00    4    33122    -4     1     T
     9372  0.4029900E+03  0.10928E+00    2    33192    -4     1     T
     9396  0.4039900E+03  0.24640E+00    4    33261    -4     1     T
     9401  0.4049900E+03  0.24750E+00    2    33275    -4     1     T
     9424  0.4059900E+03  0.16450E+00    2    33322    -4     1     T
     9447  0.4069900E+03  0.16450E+00    2    33369    -4     1     T
     9470  0.4079900E+03  0.16450E+00    3    33416    -4     1     T
     9493  0.4089900E+03  0.16450E+00    2    33462    -4     1     T
     9516  0.4099900E+03  0.16450E+00    2    33509    -4     1     T
     9539  0.4109900E+03  0.16450E+00    3    33557    -4     1     T
     9562  0.4119900E+03  0.16450E+00    2    33603    -4     1     T
     9585  0.4129900E+03  0.16450E+00    2    33649    -4     1     T
     9589  0.4139900E+03  0.37125E+00    3    33661    -4     1     T
     9612  0.4149900E+03  0.16450E+00    2    33708    -4     1     T
     9635  0.4159900E+03  0.16450E+00    2    33754    -4     1     T
     9640  0.4169900E+03  0.24750E+00    3    33772    -4     1     T
     9663  0.4179900E+03  0.16450E+00    2    33819    -4     1     T
     9694  0.4189900E+03  0.16311E+00    4    33910    -4     1     T
     9718  0.4199900E+03  0.28159E+00    4    33967    -4     1     T
     9741  0.4209900E+03  0.16450E+00    2    34013    -4     1     T
     9764  0.4219900E+03  0.16450E+00    2    34059    -4     1     T
     9787  0.4229900E+03  0.16450E+00    3    34106    -4     1     T
     9791  0.4239900E+03  0.37125E+00    3    34117    -4     1     T
     9814  0.4249900E+03  0.16450E+00    2    34163    -4     1     T
     9872  0.4259900E+03  0.52909E-01    4    34375    -4     1     T
     9906  0.4269900E+03  0.19868E+00    4    34476    -4     1     T
     9937  0.4279900E+03  0.97258E-01    3    34575    -4     1     T
     9963  0.4289900E+03  0.12590E+00    3    34643    -4     1     T
     9986  0.4299900E+03  0.16450E+00    2    34693    -4     1     T
     9992  0.4309900E+03  0.19800E+00    3    34715    -4     1     T
    10015  0.4319900E+03  0.16450E+00    2    34767    -4     1     T
    10021  0.4329900E+03  0.18562E+00    3    34791    -4     1     T
    10044  0.4339900E+03  0.16450E+00    2    34839    -4     1     T
    10067  0.4349900E+03  0.16450E+00    2    34890    -4     1     T
    10090  0.4359900E+03  0.16450E+00    2    34936    -4     1     T
    10096  0.4369900E+03  0.18562E+00    2    34955    -4     1     T
    10100  0.4379900E+03  0.33000E+00    3    34967    -4     1     T
    10104  0.4389900E+03  0.33000E+00    3    34981    -4     1     T
    10127  0.4399900E+03  0.16450E+00    2    35027    -4     1     T
    10151  0.4409900E+03  0.16426E+00    4    35084    -4     1     T
    10177  0.4419900E+03  0.91206E-01    6    35162    -4     1     T
    10206  0.4429900E+03  0.78336E-01    4    35255    -4     1     T
    10245  0.4439900E+03  0.38942E-01    5    35487     4     1     T
    10303  0.4449900E+03  0.58555E-01    2    35717    -4     1     T
    10328  0.4459900E+03  0.15232E+00    6    35788    -4     1     T
    10376  0.4469900E+03  0.68192E-01    3    36153     4     1     T
    10408  0.4479900E+03  0.11925E+00    2    36429     4     1     T
    10432  0.4489900E+03  0.12337E+00    4    36489     4     1     T
    10508  0.4499900E+03  0.43997E-01    4    36809    -4     1     T
    10563  0.4509900E+03  0.41201E-01    4    37011    -4     1     T
    10582  0.4519900E+03  0.84409E-01    3    37084    -4     1     T
    10669  0.4529900E+03  0.29874E-01    4    37420    -4     1     T
    10708  0.4539900E+03  0.92294E-01    4    37554    -4     1     T
    10760  0.4549900E+03  0.50870E-01    4    37742    -4     1     T
    10798  0.4559900E+03  0.65227E-01    2    37866    -4     1     T
    10808  0.4569900E+03  0.11000E+00    4    37912    -4     1     T
    10816  0.4579900E+03  0.14143E+00    4    37942    -4     1     T
    10822  0.4589900E+03  0.19800E+00    4    37964    -4     1     T
    10845  0.4599900E+03  0.16450E+00    2    38010    -4     1     T
    10868  0.4609900E+03  0.16450E+00    2    38056    -4     1     T
    10873  0.4619900E+03  0.24750E+00    3    38075    -4     1     T
    10896  0.4629900E+03  0.16450E+00    2    38121    -4     1     T
    10919  0.4639900E+03  0.16450E+00    3    38172    -4     1     T
    10942  0.4649900E+03  0.16450E+00    4    38227    -4     1     T
    10967  0.4659900E+03  0.14570E+00    4    38301    -4     1     T
    10991  0.4669900E+03  0.13276E-01    2    38568     4     1     T
    11050  0.4679900E+03  0.54844E-01    4    38805    -4     1     T
    11075  0.4689900E+03  0.15232E+00    3    38870    -4     1     T
    11099  0.4699900E+03  0.71000E-01    2    39175     4     1     T
